w,Unit cell x-dimension (# of pixels),Unit cell y-dimension (# of pixels),Geometry encoding (Condensed 15),Geometry encoding (Condensed 25),"Geometry encoding (full, row-major)",Plane Stress/Plane Strain,C11 (sxx-exx),C12  (sxx-eyy),C22 (syy-eyy),C16  (sxx-exy),C26 (syy-exy),C66 (sxy-exy),Constituent Material CM0,CM0: C11,CM0: C12,CM0: C22,CM0: C16,CM0: C26,CM0: C66,Constituent Material CM1,CM1: C11,CM1: C12,CM1: C22,CM1: C16,CM1: C26,CM1: C66
C4v,10,10,000000010011110,,0110000110111100111111000000110100000010000000000000000000000100000010110000001111110011110110000110,Plane Strain,696754194,182004392,696754194,0,0,51784531,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010011111,,1110000111111100111111000000110100000010000000000000000000000100000010110000001111110011111110000111,Plane Strain,690438464,175767434,690438464,0,0,51716875,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100000,,0000000000000100100000100001000100000010000000000000000000000100000010001000010000010010000000000000,Plane Strain,1852132127,794512265,1852132127,0,0,511524143,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100001,,1000000001000100100000100001000100000010000000000000000000000100000010001000010000010010001000000001,Plane Strain,1634439989,705480326,1634439989,0,0,466586495,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100010,,0100000010100100100100100001000100000010000000000000000000000100000010001000010010010010010100000010,Plane Strain,1384162051,593154932,1384162051,0,0,412984205,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100011,,1100000011100100100100100001000100000010000000000000000000000100000010001000010010010010011100000011,Plane Strain,1266713847,542191056,1266713847,0,0,355342332,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100100,,0000000000010100101000100001000100000010000000000000000000000100000010001000010001010010100000000000,Plane Strain,1661545610,677319314,1661545610,0,0,432618543,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100101,,1000000001010100101000100001000100000010000000000000000000000100000010001000010001010010101000000001,Plane Strain,1338020336,553774441,1338020336,0,0,390364246,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100110,,0100000010110100101100100001000100000010000000000000000000000100000010001000010011010010110100000010,Plane Strain,1083342713,380985725,1083342713,0,0,213112341,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010100111,,1100000011110100101100100001000100000010000000000000000000000100000010001000010011010010111100000011,Plane Strain,1070324688,372326053,1070324688,0,0,212569198,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010101000,,0010000100000100100010100001010100000010000000000000000000000100000010101000010100010010000010000100,Plane Strain,1309346827,520430541,1309346827,0,0,366946666,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010101001,,1010000101000100100010100001010100000010000000000000000000000100000010101000010100010010001010000101,Plane Strain,1255710818,472471557,1255710818,0,0,264624075,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010101010,,0110000110100100100110100001010100000010000000000000000000000100000010101000010110010010010110000110,Plane Strain,1059233524,397674815,1059233524,0,0,277989402,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010101011,,1110000111100100100110100001010100000010000000000000000000000100000010101000010110010010011110000111,Plane Strain,881159152,279475122,881159152,0,0,191088454,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010101100,,0010000100010100101010100001010100000010000000000000000000000100000010101000010101010010100010000100,Plane Strain,1141035019,449119635,1141035019,0,0,339034242,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
C4v,10,10,000000010101101,,1010000101010100101010100001010100000010000000000000000000000100000010101000010101010010101010000101,Plane Strain,1080165521,408600054,1080165521,0,0,236997993,Verowhite,2963290579,1459531181,2963290579,0,0,751879699,Tangleblack,34228188,32885906,34228188,0,0,671141
